"method","rho_est","fpr","rho","rep"
"ORBIT_P",0.0885808799233297,0.0501,0.1,14
"Fisher",0.187359915297872,0.054,0.2,14
"Brown",0.187359915297872,0.0511,0.2,14
"Stouffer",0.187359915297872,0.0739,0.2,14
"DPM",0.187359915297872,0.041,0.2,14
"ORBIT_P",0.187359915297872,0.0502,0.2,14
"Fisher",0.286422363134567,0.0554,0.3,14
"Brown",0.286422363134567,0.0503,0.3,14
"Stouffer",0.286422363134567,0.0868,0.3,14
"DPM",0.286422363134567,0.0444,0.3,14
"ORBIT_P",0.286422363134567,0.0501,0.3,14
"Fisher",0.386136484861711,0.0589,0.4,14
"Brown",0.386136484861711,0.0499,0.4,14
"Stouffer",0.386136484861711,0.0986,0.4,14
"DPM",0.386136484861711,0.0475,0.4,14
"ORBIT_P",0.386136484861711,0.049,0.4,14
"Fisher",0.486153775903943,0.0633,0.5,14
"Brown",0.486153775903943,0.0508,0.5,14
"Stouffer",0.486153775903943,0.1131,0.5,14
"DPM",0.486153775903943,0.0499,0.5,14
"ORBIT_P",0.486153775903943,0.0495,0.5,14
"Fisher",0.587660864816362,0.0712,0.6,14
"Brown",0.587660864816362,0.0515,0.6,14
"Stouffer",0.587660864816362,0.1259,0.6,14
"DPM",0.587660864816362,0.0511,0.6,14
"ORBIT_P",0.587660864816362,0.0499,0.6,14
"Fisher",0.689331278706854,0.0778,0.7,14
"Brown",0.689331278706854,0.0518,0.7,14
"Stouffer",0.689331278706854,0.1388,0.7,14
"DPM",0.689331278706854,0.0518,0.7,14
"ORBIT_P",0.689331278706854,0.0491,0.7,14
"Fisher",0.79199177258095,0.0839,0.8,14
"Brown",0.79199177258095,0.0525,0.8,14
"Stouffer",0.79199177258095,0.1503,0.8,14
"DPM",0.79199177258095,0.0525,0.8,14
"ORBIT_P",0.79199177258095,0.0508,0.8,14
"Fisher",0.89532021265074,0.0909,0.9,14
"Brown",0.89532021265074,0.0517,0.9,14
"Stouffer",0.89532021265074,0.1599,0.9,14
"DPM",0.89532021265074,0.0517,0.9,14
"ORBIT_P",0.89532021265074,0.0505,0.9,14
"Fisher",-0.00616738497051955,0.0478,0,15
"Brown",-0.00616738497051955,0.0478,0,15
"Stouffer",-0.00616738497051955,0.0461,0,15
"DPM",-0.00616738497051955,0.0292,0,15
"ORBIT_P",-0.00616738497051955,0.0481,0,15
"Fisher",0.0914451746422612,0.049,0.1,15
"Brown",0.0914451746422612,0.049,0.1,15
"Stouffer",0.0914451746422612,0.0581,0.1,15
"DPM",0.0914451746422612,0.0354,0.1,15
"ORBIT_P",0.0914451746422612,0.0483,0.1,15
"Fisher",0.188983361666552,0.0497,0.2,15
"Brown",0.188983361666552,0.0488,0.2,15
"Stouffer",0.188983361666552,0.0688,0.2,15
"DPM",0.188983361666552,0.0395,0.2,15
"ORBIT_P",0.188983361666552,0.0475,0.2,15
"Fisher",0.286856722261233,0.0528,0.3,15
"Brown",0.286856722261233,0.0489,0.3,15
"Stouffer",0.286856722261233,0.0818,0.3,15
"DPM",0.286856722261233,0.0428,0.3,15
"ORBIT_P",0.286856722261233,0.0473,0.3,15
"Fisher",0.385464635864997,0.0561,0.4,15
"Brown",0.385464635864997,0.048,0.4,15
"Stouffer",0.385464635864997,0.095,0.4,15
"DPM",0.385464635864997,0.0454,0.4,15
"ORBIT_P",0.385464635864997,0.0466,0.4,15
"Fisher",0.484677201690423,0.0609,0.5,15
"Brown",0.484677201690423,0.0488,0.5,15
"Stouffer",0.484677201690423,0.1072,0.5,15
"DPM",0.484677201690423,0.0483,0.5,15
"ORBIT_P",0.484677201690423,0.0477,0.5,15
"Fisher",0.585106807521357,0.0686,0.6,15
"Brown",0.585106807521357,0.0489,0.6,15
"Stouffer",0.585106807521357,0.1207,0.6,15
"DPM",0.585106807521357,0.0489,0.6,15
"ORBIT_P",0.585106807521357,0.0475,0.6,15
"Fisher",0.686995100933854,0.0741,0.7,15
"Brown",0.686995100933854,0.0504,0.7,15
"Stouffer",0.686995100933854,0.135,0.7,15
"DPM",0.686995100933854,0.0504,0.7,15
"ORBIT_P",0.686995100933854,0.0478,0.7,15
"Fisher",0.790617590390552,0.0797,0.8,15
"Brown",0.790617590390552,0.0512,0.8,15
"Stouffer",0.790617590390552,0.1497,0.8,15
"DPM",0.790617590390552,0.0512,0.8,15
"ORBIT_P",0.790617590390552,0.0489,0.8,15
"Fisher",0.895297088660499,0.089,0.9,15
"Brown",0.895297088660499,0.0501,0.9,15
"Stouffer",0.895297088660499,0.1587,0.9,15
"DPM",0.895297088660499,0.0501,0.9,15
"ORBIT_P",0.895297088660499,0.0484,0.9,15
"Fisher",-0.00468941745269793,0.049,0,16
"Brown",-0.00468941745269793,0.049,0,16
"Stouffer",-0.00468941745269793,0.0494,0,16
"DPM",-0.00468941745269793,0.0293,0,16
"ORBIT_P",-0.00468941745269793,0.049,0,16
"Fisher",0.0904316003947204,0.0505,0.1,16
"Brown",0.0904316003947204,0.05,0.1,16
"Stouffer",0.0904316003947204,0.0615,0.1,16
"DPM",0.0904316003947204,0.0359,0.1,16
"ORBIT_P",0.0904316003947204,0.0495,0.1,16
"Fisher",0.186222227592527,0.0516,0.2,16
"Brown",0.186222227592527,0.0502,0.2,16
"Stouffer",0.186222227592527,0.0729,0.2,16
"DPM",0.186222227592527,0.0408,0.2,16
"ORBIT_P",0.186222227592527,0.0496,0.2,16
"Fisher",0.282655335765401,0.0547,0.3,16
"Brown",0.282655335765401,0.0492,0.3,16
"Stouffer",0.282655335765401,0.0841,0.3,16
"DPM",0.282655335765401,0.0437,0.3,16
"ORBIT_P",0.282655335765401,0.0492,0.3,16
"Fisher",0.380055611719453,0.057,0.4,16
"Brown",0.380055611719453,0.0484,0.4,16
"Stouffer",0.380055611719453,0.0953,0.4,16
"DPM",0.380055611719453,0.0464,0.4,16
"ORBIT_P",0.380055611719453,0.0481,0.4,16
"Fisher",0.478902574247562,0.0613,0.5,16
"Brown",0.478902574247562,0.0485,0.5,16
"Stouffer",0.478902574247562,0.1069,0.5,16
"DPM",0.478902574247562,0.0477,0.5,16
"ORBIT_P",0.478902574247562,0.0476,0.5,16
"Fisher",0.578948081678647,0.0662,0.6,16
"Brown",0.578948081678647,0.05,0.6,16
"Stouffer",0.578948081678647,0.1196,0.6,16
"DPM",0.578948081678647,0.0497,0.6,16
"ORBIT_P",0.578948081678647,0.0488,0.6,16
"Fisher",0.681054246116036,0.0724,0.7,16
"Brown",0.681054246116036,0.0507,0.7,16
"Stouffer",0.681054246116036,0.1299,0.7,16
"DPM",0.681054246116036,0.0506,0.7,16
"ORBIT_P",0.681054246116036,0.0495,0.7,16
"Fisher",0.785428998667123,0.0792,0.8,16
"Brown",0.785428998667123,0.0509,0.8,16
"Stouffer",0.785428998667123,0.1428,0.8,16
"DPM",0.785428998667123,0.0509,0.8,16
"ORBIT_P",0.785428998667123,0.0498,0.8,16
"Fisher",0.891728524621285,0.0845,0.9,16
"Brown",0.891728524621285,0.0514,0.9,16
"Stouffer",0.891728524621285,0.1538,0.9,16
"DPM",0.891728524621285,0.0514,0.9,16
"ORBIT_P",0.891728524621285,0.0491,0.9,16
"Fisher",0.00876138513766907,0.0513,0,17
"Brown",0.00876138513766907,0.0512,0,17
"Stouffer",0.00876138513766907,0.0517,0,17
"DPM",0.00876138513766907,0.0306,0,17
"ORBIT_P",0.00876138513766907,0.0499,0,17
"Fisher",0.103723237696293,0.0521,0.1,17
"Brown",0.103723237696293,0.0511,0.1,17
"Stouffer",0.103723237696293,0.0624,0.1,17
"DPM",0.103723237696293,0.037,0.1,17
"ORBIT_P",0.103723237696293,0.0491,0.1,17
"Fisher",0.19891553982236,0.054,0.2,17
"Brown",0.19891553982236,0.0513,0.2,17
"Stouffer",0.19891553982236,0.0738,0.2,17
"DPM",0.19891553982236,0.0418,0.2,17
"ORBIT_P",0.19891553982236,0.0504,0.2,17
"Fisher",0.294809200268367,0.0563,0.3,17
"Brown",0.294809200268367,0.0507,0.3,17
"Stouffer",0.294809200268367,0.0851,0.3,17
"DPM",0.294809200268367,0.0455,0.3,17
"ORBIT_P",0.294809200268367,0.0505,0.3,17
"Fisher",0.391332959602546,0.0603,0.4,17
"Brown",0.391332959602546,0.0516,0.4,17
"Stouffer",0.391332959602546,0.0972,0.4,17
"DPM",0.391332959602546,0.0488,0.4,17
"ORBIT_P",0.391332959602546,0.05,0.4,17
"Fisher",0.48866111488515,0.0641,0.5,17
"Brown",0.48866111488515,0.0508,0.5,17
"Stouffer",0.48866111488515,0.1092,0.5,17
"DPM",0.48866111488515,0.0497,0.5,17
"ORBIT_P",0.48866111488515,0.0498,0.5,17
"Fisher",0.587182656390887,0.0674,0.6,17
"Brown",0.587182656390887,0.0509,0.6,17
"Stouffer",0.587182656390887,0.1194,0.6,17
"DPM",0.587182656390887,0.0508,0.6,17
"ORBIT_P",0.587182656390887,0.0495,0.6,17
"Fisher",0.687018256426063,0.0732,0.7,17
"Brown",0.687018256426063,0.0516,0.7,17
"Stouffer",0.687018256426063,0.1307,0.7,17
"DPM",0.687018256426063,0.0516,0.7,17
"ORBIT_P",0.687018256426063,0.0499,0.7,17
"Fisher",0.788436433805498,0.0801,0.8,17
"Brown",0.788436433805498,0.0501,0.8,17
"Stouffer",0.788436433805498,0.1416,0.8,17
"DPM",0.788436433805498,0.0501,0.8,17
"ORBIT_P",0.788436433805498,0.0487,0.8,17
"Fisher",0.892352009831464,0.085,0.9,17
"Brown",0.892352009831464,0.0488,0.9,17
"Stouffer",0.892352009831464,0.1539,0.9,17
"DPM",0.892352009831464,0.0488,0.9,17
"ORBIT_P",0.892352009831464,0.0482,0.9,17
"Fisher",-0.0251162671104682,0.0508,0,18
"Brown",-0.0251162671104682,0.0492,0,18
"Stouffer",-0.0251162671104682,0.0469,0,18
"DPM",-0.0251162671104682,0.027,0,18
"ORBIT_P",-0.0251162671104682,0.047,0,18
"Fisher",0.0728923778288205,0.0512,0.1,18
"Brown",0.0728923778288205,0.0506,0.1,18
"Stouffer",0.0728923778288205,0.0583,0.1,18
"DPM",0.0728923778288205,0.0339,0.1,18
"ORBIT_P",0.0728923778288205,0.0497,0.1,18
"Fisher",0.17123786608513,0.0528,0.2,18
"Brown",0.17123786608513,0.0504,0.2,18
"Stouffer",0.17123786608513,0.0694,0.2,18
"DPM",0.17123786608513,0.0388,0.2,18
"ORBIT_P",0.17123786608513,0.0495,0.2,18
"Fisher",0.270094930158294,0.0544,0.3,18
"Brown",0.270094930158294,0.0478,0.3,18
"Stouffer",0.270094930158294,0.081,0.3,18
"DPM",0.270094930158294,0.0419,0.3,18
"ORBIT_P",0.270094930158294,0.0492,0.3,18
"Fisher",0.369860527666668,0.057,0.4,18
"Brown",0.369860527666668,0.0495,0.4,18
"Stouffer",0.369860527666668,0.0933,0.4,18
"DPM",0.369860527666668,0.0461,0.4,18
"ORBIT_P",0.369860527666668,0.0484,0.4,18
"Fisher",0.470322088453868,0.0596,0.5,18
"Brown",0.470322088453868,0.0487,0.5,18
"Stouffer",0.470322088453868,0.1033,0.5,18
"DPM",0.470322088453868,0.0476,0.5,18
"ORBIT_P",0.470322088453868,0.0483,0.5,18
"Fisher",0.572198516677242,0.063,0.6,18
"Brown",0.572198516677242,0.0486,0.6,18
"Stouffer",0.572198516677242,0.1165,0.6,18
"DPM",0.572198516677242,0.0483,0.6,18
"ORBIT_P",0.572198516677242,0.047,0.6,18
"Fisher",0.674825764891945,0.0686,0.7,18
"Brown",0.674825764891945,0.0484,0.7,18
"Stouffer",0.674825764891945,0.1274,0.7,18
"DPM",0.674825764891945,0.0484,0.7,18
"ORBIT_P",0.674825764891945,0.0467,0.7,18
"Fisher",0.780045081802755,0.075,0.8,18
"Brown",0.780045081802755,0.0472,0.8,18
"Stouffer",0.780045081802755,0.1407,0.8,18
"DPM",0.780045081802755,0.0472,0.8,18
"ORBIT_P",0.780045081802755,0.046,0.8,18
"Fisher",0.888278762505405,0.081,0.9,18
"Brown",0.888278762505405,0.0473,0.9,18
"Stouffer",0.888278762505405,0.1508,0.9,18
"DPM",0.888278762505405,0.0473,0.9,18
"ORBIT_P",0.888278762505405,0.0467,0.9,18
"Fisher",0.0270612779469248,0.0481,0,19
"Brown",0.0270612779469248,0.0479,0,19
"Stouffer",0.0270612779469248,0.0542,0,19
"DPM",0.0270612779469248,0.0299,0,19
"ORBIT_P",0.0270612779469248,0.0475,0,19
"Fisher",0.123919411206403,0.0505,0.1,19
"Brown",0.123919411206403,0.0484,0.1,19
"Stouffer",0.123919411206403,0.0646,0.1,19
"DPM",0.123919411206403,0.0359,0.1,19
"ORBIT_P",0.123919411206403,0.0481,0.1,19
"Fisher",0.22025715633086,0.0529,0.2,19
"Brown",0.22025715633086,0.0502,0.2,19
"Stouffer",0.22025715633086,0.0765,0.2,19
"DPM",0.22025715633086,0.0413,0.2,19
"ORBIT_P",0.22025715633086,0.0489,0.2,19
"Fisher",0.316558241633099,0.0556,0.3,19
"Brown",0.316558241633099,0.048,0.3,19
"Stouffer",0.316558241633099,0.0873,0.3,19
"DPM",0.316558241633099,0.0437,0.3,19
"ORBIT_P",0.316558241633099,0.049,0.3,19
"Fisher",0.412677200948368,0.0583,0.4,19
"Brown",0.412677200948368,0.0494,0.4,19
"Stouffer",0.412677200948368,0.0996,0.4,19
"DPM",0.412677200948368,0.0471,0.4,19
"ORBIT_P",0.412677200948368,0.0491,0.4,19
"Fisher",0.509093505894919,0.0632,0.5,19
"Brown",0.509093505894919,0.0488,0.5,19
"Stouffer",0.509093505894919,0.1094,0.5,19
"DPM",0.509093505894919,0.0482,0.5,19
"ORBIT_P",0.509093505894919,0.0482,0.5,19
"Fisher",0.60573052082747,0.0685,0.6,19
"Brown",0.60573052082747,0.0495,0.6,19
"Stouffer",0.60573052082747,0.1219,0.6,19
"DPM",0.60573052082747,0.0493,0.6,19
"ORBIT_P",0.60573052082747,0.0482,0.6,19
"Fisher",0.702645779286032,0.0759,0.7,19
"Brown",0.702645779286032,0.049,0.7,19
"Stouffer",0.702645779286032,0.1325,0.7,19
"DPM",0.702645779286032,0.049,0.7,19
"ORBIT_P",0.702645779286032,0.0474,0.7,19
"Fisher",0.79940584403402,0.0812,0.8,19
"Brown",0.79940584403402,0.0503,0.8,19
"Stouffer",0.79940584403402,0.1411,0.8,19
"DPM",0.79940584403402,0.0503,0.8,19
"ORBIT_P",0.79940584403402,0.048,0.8,19
"Fisher",0.897489297688367,0.0859,0.9,19
"Brown",0.897489297688367,0.0497,0.9,19
"Stouffer",0.897489297688367,0.1497,0.9,19
"DPM",0.897489297688367,0.0497,0.9,19
"ORBIT_P",0.897489297688367,0.0488,0.9,19
"Fisher",-0.00400919959991019,0.0513,0,20
"Brown",-0.00400919959991019,0.0509,0,20
"Stouffer",-0.00400919959991019,0.0528,0,20
"DPM",-0.00400919959991019,0.0305,0,20
"ORBIT_P",-0.00400919959991019,0.0522,0,20
"Fisher",0.091905563068866,0.0526,0.1,20
"Brown",0.091905563068866,0.0512,0.1,20
"Stouffer",0.091905563068866,0.0632,0.1,20
"DPM",0.091905563068866,0.0362,0.1,20
"ORBIT_P",0.091905563068866,0.0524,0.1,20
"Fisher",0.18841474231982,0.0544,0.2,20
"Brown",0.18841474231982,0.0524,0.2,20
"Stouffer",0.18841474231982,0.0745,0.2,20
"DPM",0.18841474231982,0.0425,0.2,20
"ORBIT_P",0.18841474231982,0.0518,0.2,20
"Fisher",0.28522280720994,0.0567,0.3,20
"Brown",0.28522280720994,0.0521,0.3,20
"Stouffer",0.28522280720994,0.0857,0.3,20
"DPM",0.28522280720994,0.0461,0.3,20
"ORBIT_P",0.28522280720994,0.0509,0.3,20
"Fisher",0.383208954257435,0.059,0.4,20
"Brown",0.383208954257435,0.0518,0.4,20
"Stouffer",0.383208954257435,0.0963,0.4,20
"DPM",0.383208954257435,0.0485,0.4,20
"ORBIT_P",0.383208954257435,0.0506,0.4,20
"Fisher",0.481801050392848,0.0629,0.5,20
"Brown",0.481801050392848,0.0498,0.5,20
"Stouffer",0.481801050392848,0.1078,0.5,20
"DPM",0.481801050392848,0.049,0.5,20
"ORBIT_P",0.481801050392848,0.0492,0.5,20
"Fisher",0.581331218137012,0.0691,0.6,20
"Brown",0.581331218137012,0.051,0.6,20
"Stouffer",0.581331218137012,0.1211,0.6,20
"DPM",0.581331218137012,0.0507,0.6,20
"ORBIT_P",0.581331218137012,0.0488,0.6,20
"Fisher",0.681804399480072,0.0749,0.7,20
"Brown",0.681804399480072,0.0505,0.7,20
"Stouffer",0.681804399480072,0.1301,0.7,20
"DPM",0.681804399480072,0.0505,0.7,20
"ORBIT_P",0.681804399480072,0.0481,0.7,20
"Fisher",0.785196475512457,0.0791,0.8,20
"Brown",0.785196475512457,0.0509,0.8,20
"Stouffer",0.785196475512457,0.1398,0.8,20
"DPM",0.785196475512457,0.0509,0.8,20
"ORBIT_P",0.785196475512457,0.0487,0.8,20
"Fisher",0.890637359091152,0.0835,0.9,20
"Brown",0.890637359091152,0.0491,0.9,20
"Stouffer",0.890637359091152,0.1519,0.9,20
"DPM",0.890637359091152,0.0491,0.9,20
"ORBIT_P",0.890637359091152,0.048,0.9,20
