"method","rho_est","fpr","K","rep"
"DPM",-0.00163234611755716,4e-04,13,10
"ORBIT_P",-0.00163234611755716,0.0487,13,10
"Fisher",-0.00170645456466841,0.0491,14,10
"Brown",-0.00170645456466841,0.0491,14,10
"Stouffer",-0.00170645456466841,0.0476,14,10
"DPM",-0.00170645456466841,3e-04,14,10
"ORBIT_P",-0.00170645456466841,0.048,14,10
"Fisher",-0.00175267382340297,0.0486,15,10
"Brown",-0.00175267382340297,0.0486,15,10
"Stouffer",-0.00175267382340297,0.0473,15,10
"DPM",-0.00175267382340297,3e-04,15,10
"ORBIT_P",-0.00175267382340297,0.048,15,10
"Fisher",-0.00138627787891506,0.0502,16,10
"Brown",-0.00138627787891506,0.0502,16,10
"Stouffer",-0.00138627787891506,0.0489,16,10
"DPM",-0.00138627787891506,4e-04,16,10
"ORBIT_P",-0.00138627787891506,0.0478,16,10
"Fisher",-0.00131428793736781,0.0491,17,10
"Brown",-0.00131428793736781,0.0491,17,10
"Stouffer",-0.00131428793736781,0.0477,17,10
"DPM",-0.00131428793736781,1e-04,17,10
"ORBIT_P",-0.00131428793736781,0.048,17,10
"Fisher",-0.0013199366049063,0.0461,18,10
"Brown",-0.0013199366049063,0.0461,18,10
"Stouffer",-0.0013199366049063,0.0475,18,10
"DPM",-0.0013199366049063,1e-04,18,10
"ORBIT_P",-0.0013199366049063,0.0467,18,10
"Fisher",-0.0012410741309312,0.0461,19,10
"Brown",-0.0012410741309312,0.0461,19,10
"Stouffer",-0.0012410741309312,0.0462,19,10
"DPM",-0.0012410741309312,1e-04,19,10
"ORBIT_P",-0.0012410741309312,0.0467,19,10
"Fisher",-0.000877907685964477,0.046,20,10
"Brown",-0.000877907685964477,0.046,20,10
"Stouffer",-0.000877907685964477,0.0487,20,10
"DPM",-0.000877907685964477,1e-04,20,10
"ORBIT_P",-0.000877907685964477,0.0474,20,10
"Fisher",-0.0226116368602795,0.0512,2,11
"Brown",-0.0226116368602795,0.0504,2,11
"Stouffer",-0.0226116368602795,0.0474,2,11
"DPM",-0.0226116368602795,0.0278,2,11
"ORBIT_P",-0.0226116368602795,0.0458,2,11
"Fisher",-0.00730017852233402,0.0513,3,11
"Brown",-0.00730017852233402,0.051,3,11
"Stouffer",-0.00730017852233402,0.0491,3,11
"DPM",-0.00730017852233402,0.0172,3,11
"ORBIT_P",-0.00730017852233402,0.0499,3,11
"Fisher",-0.00488467577290498,0.0522,4,11
"Brown",-0.00488467577290498,0.0497,4,11
"Stouffer",-0.00488467577290498,0.0492,4,11
"DPM",-0.00488467577290498,0.0109,4,11
"ORBIT_P",-0.00488467577290498,0.048,4,11
"Fisher",-0.00429829441738302,0.0531,5,11
"Brown",-0.00429829441738302,0.0522,5,11
"Stouffer",-0.00429829441738302,0.05,5,11
"DPM",-0.00429829441738302,0.0065,5,11
"ORBIT_P",-0.00429829441738302,0.0492,5,11
"Fisher",-0.00254160475102072,0.0529,6,11
"Brown",-0.00254160475102072,0.0517,6,11
"Stouffer",-0.00254160475102072,0.0468,6,11
"DPM",-0.00254160475102072,0.0044,6,11
"ORBIT_P",-0.00254160475102072,0.0493,6,11
"Fisher",-0.00119796067416903,0.0517,7,11
"Brown",-0.00119796067416903,0.0509,7,11
"Stouffer",-0.00119796067416903,0.0501,7,11
"DPM",-0.00119796067416903,0.0032,7,11
"ORBIT_P",-0.00119796067416903,0.0492,7,11
"Fisher",-0.00119010036603246,0.0478,8,11
"Brown",-0.00119010036603246,0.0466,8,11
"Stouffer",-0.00119010036603246,0.0494,8,11
"DPM",-0.00119010036603246,0.0022,8,11
"ORBIT_P",-0.00119010036603246,0.0486,8,11
"Fisher",-0.00173310121658559,0.0478,9,11
"Brown",-0.00173310121658559,0.0468,9,11
"Stouffer",-0.00173310121658559,0.0469,9,11
"DPM",-0.00173310121658559,0.0018,9,11
"ORBIT_P",-0.00173310121658559,0.047,9,11
"Fisher",-0.000955352319868871,0.044,10,11
"Brown",-0.000955352319868871,0.0434,10,11
"Stouffer",-0.000955352319868871,0.0491,10,11
"DPM",-0.000955352319868871,7e-04,10,11
"ORBIT_P",-0.000955352319868871,0.0486,10,11
"Fisher",-0.000480338551946238,0.0445,11,11
"Brown",-0.000480338551946238,0.0445,11,11
"Stouffer",-0.000480338551946238,0.0496,11,11
"DPM",-0.000480338551946238,6e-04,11,11
"ORBIT_P",-0.000480338551946238,0.0499,11,11
"Fisher",-0.000824416943051471,0.0444,12,11
"Brown",-0.000824416943051471,0.0441,12,11
"Stouffer",-0.000824416943051471,0.05,12,11
"DPM",-0.000824416943051471,0,12,11
"ORBIT_P",-0.000824416943051471,0.0495,12,11
"Fisher",-0.000339956691469219,0.0456,13,11
"Brown",-0.000339956691469219,0.0456,13,11
"Stouffer",-0.000339956691469219,0.0491,13,11
"DPM",-0.000339956691469219,1e-04,13,11
"ORBIT_P",-0.000339956691469219,0.0495,13,11
"Fisher",-0.00063176562994414,0.0476,14,11
"Brown",-0.00063176562994414,0.0476,14,11
"Stouffer",-0.00063176562994414,0.0471,14,11
"DPM",-0.00063176562994414,1e-04,14,11
"ORBIT_P",-0.00063176562994414,0.0481,14,11
"Fisher",-0.000636624812855523,0.0504,15,11
"Brown",-0.000636624812855523,0.0504,15,11
"Stouffer",-0.000636624812855523,0.0456,15,11
"DPM",-0.000636624812855523,0,15,11
"ORBIT_P",-0.000636624812855523,0.0483,15,11
"Fisher",-0.000485127258661172,0.0484,16,11
"Brown",-0.000485127258661172,0.0484,16,11
"Stouffer",-0.000485127258661172,0.0462,16,11
"DPM",-0.000485127258661172,1e-04,16,11
"ORBIT_P",-0.000485127258661172,0.0468,16,11
"Fisher",-0.000313370085505378,0.0492,17,11
"Brown",-0.000313370085505378,0.0492,17,11
"Stouffer",-0.000313370085505378,0.0468,17,11
"DPM",-0.000313370085505378,1e-04,17,11
"ORBIT_P",-0.000313370085505378,0.0486,17,11
"Fisher",-0.000475016668031146,0.0486,18,11
"Brown",-0.000475016668031146,0.0486,18,11
"Stouffer",-0.000475016668031146,0.0462,18,11
"DPM",-0.000475016668031146,0,18,11
"ORBIT_P",-0.000475016668031146,0.0486,18,11
"Fisher",-0.000452285388189145,0.0466,19,11
"Brown",-0.000452285388189145,0.0466,19,11
"Stouffer",-0.000452285388189145,0.0482,19,11
"DPM",-0.000452285388189145,0,19,11
"ORBIT_P",-0.000452285388189145,0.0489,19,11
"Fisher",-0.000416032110521222,0.0477,20,11
"Brown",-0.000416032110521222,0.0477,20,11
"Stouffer",-0.000416032110521222,0.0481,20,11
"DPM",-0.000416032110521222,0,20,11
"ORBIT_P",-0.000416032110521222,0.0484,20,11
"Fisher",-0.00754658570974214,0.0495,2,12
"Brown",-0.00754658570974214,0.0477,2,12
"Stouffer",-0.00754658570974214,0.0494,2,12
"DPM",-0.00754658570974214,0.027,2,12
"ORBIT_P",-0.00754658570974214,0.0486,2,12
"Fisher",-0.000704409319398439,0.0475,3,12
"Brown",-0.000704409319398439,0.0468,3,12
"Stouffer",-0.000704409319398439,0.0519,3,12
"DPM",-0.000704409319398439,0.0188,3,12
"ORBIT_P",-0.000704409319398439,0.0486,3,12
"Fisher",-0.00134530096134238,0.0482,4,12
"Brown",-0.00134530096134238,0.0469,4,12
"Stouffer",-0.00134530096134238,0.0512,4,12
"DPM",-0.00134530096134238,0.0101,4,12
"ORBIT_P",-0.00134530096134238,0.0487,4,12
"Fisher",-0.000981405829812547,0.0492,5,12
"Brown",-0.000981405829812547,0.0484,5,12
"Stouffer",-0.000981405829812547,0.0502,5,12
"DPM",-0.000981405829812547,0.0078,5,12
"ORBIT_P",-0.000981405829812547,0.0511,5,12
"Fisher",0.00190389277528927,0.0472,6,12
"Brown",0.00190389277528927,0.0471,6,12
"Stouffer",0.00190389277528927,0.05,6,12
"DPM",0.00190389277528927,0.0048,6,12
"ORBIT_P",0.00190389277528927,0.0476,6,12
"Fisher",0.00158127933359508,0.0484,7,12
"Brown",0.00158127933359508,0.0484,7,12
"Stouffer",0.00158127933359508,0.0501,7,12
"DPM",0.00158127933359508,0.0037,7,12
"ORBIT_P",0.00158127933359508,0.0492,7,12
"Fisher",0.00106221734514335,0.0478,8,12
"Brown",0.00106221734514335,0.0478,8,12
"Stouffer",0.00106221734514335,0.0494,8,12
"DPM",0.00106221734514335,0.0021,8,12
"ORBIT_P",0.00106221734514335,0.0499,8,12
"Fisher",-0.000194011311824417,0.0482,9,12
"Brown",-0.000194011311824417,0.0482,9,12
"Stouffer",-0.000194011311824417,0.0487,9,12
"DPM",-0.000194011311824417,0.001,9,12
"ORBIT_P",-0.000194011311824417,0.0485,9,12
"Fisher",-0.00039771281405512,0.0484,10,12
"Brown",-0.00039771281405512,0.0484,10,12
"Stouffer",-0.00039771281405512,0.0493,10,12
"DPM",-0.00039771281405512,7e-04,10,12
"ORBIT_P",-0.00039771281405512,0.0489,10,12
"Fisher",-0.000793437614849482,0.0475,11,12
"Brown",-0.000793437614849482,0.0475,11,12
"Stouffer",-0.000793437614849482,0.0508,11,12
"DPM",-0.000793437614849482,5e-04,11,12
"ORBIT_P",-0.000793437614849482,0.0511,11,12
"Fisher",-0.00169371841210252,0.0477,12,12
"Brown",-0.00169371841210252,0.0477,12,12
"Stouffer",-0.00169371841210252,0.0513,12,12
"DPM",-0.00169371841210252,4e-04,12,12
"ORBIT_P",-0.00169371841210252,0.0503,12,12
"Fisher",-0.000890456419565359,0.0473,13,12
"Brown",-0.000890456419565359,0.0473,13,12
"Stouffer",-0.000890456419565359,0.0516,13,12
"DPM",-0.000890456419565359,1e-04,13,12
"ORBIT_P",-0.000890456419565359,0.0526,13,12
"Fisher",0.000448098170435468,0.0492,14,12
"Brown",0.000448098170435468,0.0492,14,12
"Stouffer",0.000448098170435468,0.0512,14,12
"DPM",0.000448098170435468,3e-04,14,12
"ORBIT_P",0.000448098170435468,0.0517,14,12
"Fisher",0.00049348780463744,0.0471,15,12
"Brown",0.00049348780463744,0.0471,15,12
"Stouffer",0.00049348780463744,0.0521,15,12
"DPM",0.00049348780463744,0,15,12
"ORBIT_P",0.00049348780463744,0.0514,15,12
"Fisher",0.000614246813060567,0.0503,16,12
"Brown",0.000614246813060567,0.0503,16,12
"Stouffer",0.000614246813060567,0.0533,16,12
"DPM",0.000614246813060567,0,16,12
"ORBIT_P",0.000614246813060567,0.0507,16,12
"Fisher",0.000400194449201927,0.0484,17,12
"Brown",0.000400194449201927,0.0484,17,12
"Stouffer",0.000400194449201927,0.0524,17,12
"DPM",0.000400194449201927,0,17,12
"ORBIT_P",0.000400194449201927,0.0508,17,12
"Fisher",0.000297000689436998,0.0482,18,12
"Brown",0.000297000689436998,0.0482,18,12
"Stouffer",0.000297000689436998,0.0512,18,12
"DPM",0.000297000689436998,0,18,12
"ORBIT_P",0.000297000689436998,0.0508,18,12
"Fisher",0.000567368096835455,0.0488,19,12
"Brown",0.000567368096835455,0.0488,19,12
"Stouffer",0.000567368096835455,0.051,19,12
"DPM",0.000567368096835455,0,19,12
"ORBIT_P",0.000567368096835455,0.0506,19,12
"Fisher",0.00118520279973572,0.0481,20,12
"Brown",0.00118520279973572,0.0481,20,12
"Stouffer",0.00118520279973572,0.0536,20,12
"DPM",0.00118520279973572,0,20,12
"ORBIT_P",0.00118520279973572,0.0486,20,12
"Fisher",0.00553132786373123,0.0536,2,13
"Brown",0.00553132786373123,0.0536,2,13
"Stouffer",0.00553132786373123,0.0529,2,13
"DPM",0.00553132786373123,0.0322,2,13
"ORBIT_P",0.00553132786373123,0.0529,2,13
"Fisher",0.00483194020226702,0.0521,3,13
"Brown",0.00483194020226702,0.0509,3,13
"Stouffer",0.00483194020226702,0.0515,3,13
"DPM",0.00483194020226702,0.0181,3,13
"ORBIT_P",0.00483194020226702,0.0523,3,13
"Fisher",0.0038787424090454,0.0509,4,13
"Brown",0.0038787424090454,0.0508,4,13
"Stouffer",0.0038787424090454,0.0518,4,13
"DPM",0.0038787424090454,0.0126,4,13
"ORBIT_P",0.0038787424090454,0.0511,4,13
"Fisher",0.00133058894055022,0.0502,5,13
"Brown",0.00133058894055022,0.0493,5,13
"Stouffer",0.00133058894055022,0.0518,5,13
"DPM",0.00133058894055022,0.0078,5,13
"ORBIT_P",0.00133058894055022,0.0518,5,13
"Fisher",-0.00157572475895368,0.0492,6,13
"Brown",-0.00157572475895368,0.0492,6,13
"Stouffer",-0.00157572475895368,0.05,6,13
"DPM",-0.00157572475895368,0.0049,6,13
"ORBIT_P",-0.00157572475895368,0.0512,6,13
"Fisher",-0.000947533234906497,0.0509,7,13
"Brown",-0.000947533234906497,0.0507,7,13
"Stouffer",-0.000947533234906497,0.0492,7,13
"DPM",-0.000947533234906497,0.003,7,13
"ORBIT_P",-0.000947533234906497,0.0501,7,13
"Fisher",0.00123535139269099,0.0503,8,13
"Brown",0.00123535139269099,0.0501,8,13
"Stouffer",0.00123535139269099,0.0514,8,13
"DPM",0.00123535139269099,0.0016,8,13
"ORBIT_P",0.00123535139269099,0.052,8,13
"Fisher",0.00199790877892225,0.0465,9,13
"Brown",0.00199790877892225,0.0465,9,13
"Stouffer",0.00199790877892225,0.0504,9,13
"DPM",0.00199790877892225,0.0014,9,13
"ORBIT_P",0.00199790877892225,0.0495,9,13
"Fisher",0.000878882176348498,0.0484,10,13
"Brown",0.000878882176348498,0.0484,10,13
"Stouffer",0.000878882176348498,0.051,10,13
"DPM",0.000878882176348498,7e-04,10,13
"ORBIT_P",0.000878882176348498,0.0484,10,13
"Fisher",0.000647126657468012,0.0499,11,13
"Brown",0.000647126657468012,0.0499,11,13
"Stouffer",0.000647126657468012,0.0504,11,13
"DPM",0.000647126657468012,3e-04,11,13
"ORBIT_P",0.000647126657468012,0.0494,11,13
"Fisher",0.00112165679730363,0.0497,12,13
"Brown",0.00112165679730363,0.0497,12,13
"Stouffer",0.00112165679730363,0.0541,12,13
"DPM",0.00112165679730363,1e-04,12,13
"ORBIT_P",0.00112165679730363,0.0512,12,13
"Fisher",0.00083164487065171,0.0475,13,13
"Brown",0.00083164487065171,0.0475,13,13
"Stouffer",0.00083164487065171,0.0534,13,13
"DPM",0.00083164487065171,2e-04,13,13
"ORBIT_P",0.00083164487065171,0.0518,13,13
"Fisher",0.000177930958171357,0.0468,14,13
"Brown",0.000177930958171357,0.0468,14,13
"Stouffer",0.000177930958171357,0.0515,14,13
"DPM",0.000177930958171357,0,14,13
"ORBIT_P",0.000177930958171357,0.0508,14,13
"Fisher",0.000340398951987401,0.0464,15,13
"Brown",0.000340398951987401,0.0464,15,13
"Stouffer",0.000340398951987401,0.0512,15,13
"DPM",0.000340398951987401,0,15,13
"ORBIT_P",0.000340398951987401,0.051,15,13
"Fisher",0.000495273769791565,0.0462,16,13
"Brown",0.000495273769791565,0.0462,16,13
"Stouffer",0.000495273769791565,0.0536,16,13
"DPM",0.000495273769791565,2e-04,16,13
"ORBIT_P",0.000495273769791565,0.0536,16,13
"Fisher",0.000314691404436894,0.0475,17,13
"Brown",0.000314691404436894,0.0475,17,13
"Stouffer",0.000314691404436894,0.0538,17,13
"DPM",0.000314691404436894,1e-04,17,13
"ORBIT_P",0.000314691404436894,0.0515,17,13
"Fisher",2.7400890668087e-05,0.0469,18,13
"Brown",2.7400890668087e-05,0.0469,18,13
"Stouffer",2.7400890668087e-05,0.0508,18,13
"DPM",2.7400890668087e-05,0,18,13
"ORBIT_P",2.7400890668087e-05,0.0515,18,13
"Fisher",-0.000219060590759692,0.0488,19,13
"Brown",-0.000219060590759692,0.0487,19,13
"Stouffer",-0.000219060590759692,0.0499,19,13
"DPM",-0.000219060590759692,0,19,13
"ORBIT_P",-0.000219060590759692,0.0509,19,13
"Fisher",-6.46876090209346e-05,0.0507,20,13
"Brown",-6.46876090209346e-05,0.0499,20,13
"Stouffer",-6.46876090209346e-05,0.0509,20,13
"DPM",-6.46876090209346e-05,0,20,13
"ORBIT_P",-6.46876090209346e-05,0.0504,20,13
"Fisher",-0.00981484304602718,0.0516,2,14
"Brown",-0.00981484304602718,0.0516,2,14
"Stouffer",-0.00981484304602718,0.0514,2,14
"DPM",-0.00981484304602718,0.029,2,14
"ORBIT_P",-0.00981484304602718,0.0497,2,14
"Fisher",-0.00489738172458574,0.0512,3,14
"Brown",-0.00489738172458574,0.0512,3,14
"Stouffer",-0.00489738172458574,0.0493,3,14
"DPM",-0.00489738172458574,0.0189,3,14
"ORBIT_P",-0.00489738172458574,0.0514,3,14
"Fisher",-0.00315094229029007,0.0479,4,14
"Brown",-0.00315094229029007,0.0479,4,14
"Stouffer",-0.00315094229029007,0.0474,4,14
"DPM",-0.00315094229029007,0.0118,4,14
"ORBIT_P",-0.00315094229029007,0.0487,4,14
"Fisher",-0.00107654114838376,0.0486,5,14
"Brown",-0.00107654114838376,0.0486,5,14
"Stouffer",-0.00107654114838376,0.0446,5,14
"DPM",-0.00107654114838376,0.0074,5,14
"ORBIT_P",-0.00107654114838376,0.0467,5,14
"Fisher",-0.000563071702672111,0.0492,6,14
"Brown",-0.000563071702672111,0.0492,6,14
"Stouffer",-0.000563071702672111,0.0465,6,14
"DPM",-0.000563071702672111,0.0048,6,14
"ORBIT_P",-0.000563071702672111,0.05,6,14
"Fisher",-0.00219491088629067,0.0483,7,14
"Brown",-0.00219491088629067,0.0483,7,14
"Stouffer",-0.00219491088629067,0.0482,7,14
"DPM",-0.00219491088629067,0.0031,7,14
"ORBIT_P",-0.00219491088629067,0.0479,7,14
"Fisher",-0.000769782184708102,0.0499,8,14
"Brown",-0.000769782184708102,0.0499,8,14
"Stouffer",-0.000769782184708102,0.046,8,14
"DPM",-0.000769782184708102,0.0022,8,14
"ORBIT_P",-0.000769782184708102,0.0479,8,14
"Fisher",-0.000652495427011452,0.0502,9,14
"Brown",-0.000652495427011452,0.0502,9,14
"Stouffer",-0.000652495427011452,0.0472,9,14
"DPM",-0.000652495427011452,0.0011,9,14
"ORBIT_P",-0.000652495427011452,0.0485,9,14
"Fisher",-0.000695011120705023,0.05,10,14
"Brown",-0.000695011120705023,0.05,10,14
"Stouffer",-0.000695011120705023,0.0483,10,14
"DPM",-0.000695011120705023,8e-04,10,14
"ORBIT_P",-0.000695011120705023,0.0505,10,14
"Fisher",-0.00188767279338143,0.0487,11,14
"Brown",-0.00188767279338143,0.0487,11,14
"Stouffer",-0.00188767279338143,0.0487,11,14
"DPM",-0.00188767279338143,3e-04,11,14
"ORBIT_P",-0.00188767279338143,0.0486,11,14
"Fisher",-0.00203140609989111,0.0475,12,14
"Brown",-0.00203140609989111,0.0475,12,14
"Stouffer",-0.00203140609989111,0.0497,12,14
"DPM",-0.00203140609989111,5e-04,12,14
"ORBIT_P",-0.00203140609989111,0.049,12,14
"Fisher",-0.00192262935143108,0.0488,13,14
"Brown",-0.00192262935143108,0.0488,13,14
"Stouffer",-0.00192262935143108,0.0459,13,14
"DPM",-0.00192262935143108,5e-04,13,14
"ORBIT_P",-0.00192262935143108,0.0463,13,14
"Fisher",-0.00183449870588149,0.0482,14,14
"Brown",-0.00183449870588149,0.0482,14,14
"Stouffer",-0.00183449870588149,0.046,14,14
"DPM",-0.00183449870588149,3e-04,14,14
"ORBIT_P",-0.00183449870588149,0.0466,14,14
"Fisher",-0.0018299752826548,0.0474,15,14
"Brown",-0.0018299752826548,0.0474,15,14
"Stouffer",-0.0018299752826548,0.0451,15,14
"DPM",-0.0018299752826548,3e-04,15,14
"ORBIT_P",-0.0018299752826548,0.0448,15,14
"Fisher",-0.0014801629139928,0.0479,16,14
"Brown",-0.0014801629139928,0.0479,16,14
"Stouffer",-0.0014801629139928,0.0449,16,14
"DPM",-0.0014801629139928,4e-04,16,14
"ORBIT_P",-0.0014801629139928,0.0449,16,14
"Fisher",-0.000842275507925286,0.0479,17,14
"Brown",-0.000842275507925286,0.0479,17,14
"Stouffer",-0.000842275507925286,0.0442,17,14
"DPM",-0.000842275507925286,2e-04,17,14
"ORBIT_P",-0.000842275507925286,0.0465,17,14
"Fisher",-0.000862193527220862,0.0482,18,14
"Brown",-0.000862193527220862,0.0482,18,14
"Stouffer",-0.000862193527220862,0.0468,18,14
"DPM",-0.000862193527220862,1e-04,18,14
"ORBIT_P",-0.000862193527220862,0.0475,18,14
"Fisher",-0.000773147438337183,0.0494,19,14
"Brown",-0.000773147438337183,0.0494,19,14
"Stouffer",-0.000773147438337183,0.0472,19,14
"DPM",-0.000773147438337183,1e-04,19,14
"ORBIT_P",-0.000773147438337183,0.0469,19,14
"Fisher",-0.000350583414526027,0.0478,20,14
"Brown",-0.000350583414526027,0.0478,20,14
"Stouffer",-0.000350583414526027,0.0484,20,14
"DPM",-0.000350583414526027,1e-04,20,14
"ORBIT_P",-0.000350583414526027,0.0497,20,14
"Fisher",-0.00616738497051955,0.0478,2,15
"Brown",-0.00616738497051955,0.0478,2,15
"Stouffer",-0.00616738497051955,0.0461,2,15
"DPM",-0.00616738497051955,0.0292,2,15
"ORBIT_P",-0.00616738497051955,0.0481,2,15
"Fisher",0.000322301740680676,0.0505,3,15
"Brown",0.000322301740680676,0.0505,3,15
"Stouffer",0.000322301740680676,0.051,3,15
"DPM",0.000322301740680676,0.0181,3,15
"ORBIT_P",0.000322301740680676,0.0506,3,15
"Fisher",-0.00569903362413358,0.0507,4,15
"Brown",-0.00569903362413358,0.0507,4,15
"Stouffer",-0.00569903362413358,0.0477,4,15
"DPM",-0.00569903362413358,0.0111,4,15
"ORBIT_P",-0.00569903362413358,0.0485,4,15
"Fisher",-0.00497069388011203,0.0499,5,15
"Brown",-0.00497069388011203,0.0499,5,15
"Stouffer",-0.00497069388011203,0.0485,5,15
"DPM",-0.00497069388011203,0.0075,5,15
"ORBIT_P",-0.00497069388011203,0.0476,5,15
"Fisher",-0.00550256182914817,0.0484,6,15
"Brown",-0.00550256182914817,0.0484,6,15
"Stouffer",-0.00550256182914817,0.0475,6,15
"DPM",-0.00550256182914817,0.0043,6,15
"ORBIT_P",-0.00550256182914817,0.0484,6,15
"Fisher",-0.00338467174881182,0.0467,7,15
"Brown",-0.00338467174881182,0.0467,7,15
"Stouffer",-0.00338467174881182,0.0458,7,15
"DPM",-0.00338467174881182,0.0024,7,15
"ORBIT_P",-0.00338467174881182,0.049,7,15
"Fisher",-0.00271005991371514,0.0455,8,15
"Brown",-0.00271005991371514,0.0455,8,15
"Stouffer",-0.00271005991371514,0.0478,8,15
"DPM",-0.00271005991371514,0.0018,8,15
"ORBIT_P",-0.00271005991371514,0.0491,8,15
"Fisher",-0.00335733835134678,0.0479,9,15
"Brown",-0.00335733835134678,0.0479,9,15
"Stouffer",-0.00335733835134678,0.0487,9,15
"DPM",-0.00335733835134678,0.001,9,15
"ORBIT_P",-0.00335733835134678,0.0473,9,15
"Fisher",-0.00303071926710008,0.0497,10,15
"Brown",-0.00303071926710008,0.0497,10,15
"Stouffer",-0.00303071926710008,0.046,10,15
"DPM",-0.00303071926710008,9e-04,10,15
"ORBIT_P",-0.00303071926710008,0.0476,10,15
"Fisher",-0.00254105406006589,0.0494,11,15
"Brown",-0.00254105406006589,0.0494,11,15
"Stouffer",-0.00254105406006589,0.0444,11,15
"DPM",-0.00254105406006589,7e-04,11,15
"ORBIT_P",-0.00254105406006589,0.0458,11,15
"Fisher",-0.00226061535687536,0.0473,12,15
"Brown",-0.00226061535687536,0.0473,12,15
"Stouffer",-0.00226061535687536,0.0442,12,15
"DPM",-0.00226061535687536,7e-04,12,15
"ORBIT_P",-0.00226061535687536,0.0463,12,15
"Fisher",-0.000753793224158402,0.0473,13,15
"Brown",-0.000753793224158402,0.0473,13,15
"Stouffer",-0.000753793224158402,0.0483,13,15
"DPM",-0.000753793224158402,8e-04,13,15
"ORBIT_P",-0.000753793224158402,0.0492,13,15
"Fisher",-0.000561986390909026,0.0498,14,15
"Brown",-0.000561986390909026,0.0498,14,15
"Stouffer",-0.000561986390909026,0.0488,14,15
"DPM",-0.000561986390909026,3e-04,14,15
"ORBIT_P",-0.000561986390909026,0.0484,14,15
"Fisher",-0.000649455616239385,0.0481,15,15
"Brown",-0.000649455616239385,0.0481,15,15
"Stouffer",-0.000649455616239385,0.0486,15,15
"DPM",-0.000649455616239385,0,15,15
"ORBIT_P",-0.000649455616239385,0.0489,15,15
"Fisher",-0.000735510799537817,0.049,16,15
"Brown",-0.000735510799537817,0.049,16,15
"Stouffer",-0.000735510799537817,0.0498,16,15
"DPM",-0.000735510799537817,0,16,15
"ORBIT_P",-0.000735510799537817,0.0479,16,15
"Fisher",0.000254280748448573,0.0488,17,15
"Brown",0.000254280748448573,0.0488,17,15
"Stouffer",0.000254280748448573,0.0504,17,15
"DPM",0.000254280748448573,0,17,15
"ORBIT_P",0.000254280748448573,0.0483,17,15
"Fisher",0.000673551623337106,0.0499,18,15
"Brown",0.000673551623337106,0.0499,18,15
"Stouffer",0.000673551623337106,0.0528,18,15
"DPM",0.000673551623337106,0,18,15
"ORBIT_P",0.000673551623337106,0.0497,18,15
"Fisher",0.000381760544485383,0.0497,19,15
"Brown",0.000381760544485383,0.0497,19,15
"Stouffer",0.000381760544485383,0.0534,19,15
"DPM",0.000381760544485383,0,19,15
"ORBIT_P",0.000381760544485383,0.0521,19,15
"Fisher",0.000111988515764422,0.0494,20,15
"Brown",0.000111988515764422,0.0494,20,15
"Stouffer",0.000111988515764422,0.0539,20,15
"DPM",0.000111988515764422,0,20,15
"ORBIT_P",0.000111988515764422,0.052,20,15
"Fisher",-0.00468941745269793,0.049,2,16
"Brown",-0.00468941745269793,0.049,2,16
"Stouffer",-0.00468941745269793,0.0494,2,16
"DPM",-0.00468941745269793,0.0293,2,16
"ORBIT_P",-0.00468941745269793,0.049,2,16
"Fisher",-0.0136982173496515,0.0478,3,16
"Brown",-0.0136982173496515,0.0478,3,16
"Stouffer",-0.0136982173496515,0.0451,3,16
"DPM",-0.0136982173496515,0.0162,3,16
"ORBIT_P",-0.0136982173496515,0.0468,3,16
"Fisher",-0.00980006048900908,0.0481,4,16
"Brown",-0.00980006048900908,0.0481,4,16
"Stouffer",-0.00980006048900908,0.0456,4,16
"DPM",-0.00980006048900908,0.01,4,16
"ORBIT_P",-0.00980006048900908,0.0469,4,16
"Fisher",-0.00687611313386035,0.0493,5,16
"Brown",-0.00687611313386035,0.0493,5,16
"Stouffer",-0.00687611313386035,0.0464,5,16
"DPM",-0.00687611313386035,0.0059,5,16
"ORBIT_P",-0.00687611313386035,0.0468,5,16
"Fisher",-0.00328574537745013,0.0504,6,16
"Brown",-0.00328574537745013,0.0501,6,16
"Stouffer",-0.00328574537745013,0.0472,6,16
"DPM",-0.00328574537745013,0.0052,6,16
"ORBIT_P",-0.00328574537745013,0.0502,6,16
"Fisher",-0.00146002863583261,0.0512,7,16
"Brown",-0.00146002863583261,0.0511,7,16
"Stouffer",-0.00146002863583261,0.0496,7,16
"DPM",-0.00146002863583261,0.0031,7,16
"ORBIT_P",-0.00146002863583261,0.0497,7,16
"Fisher",0.00100867749216214,0.0497,8,16
"Brown",0.00100867749216214,0.0491,8,16
"Stouffer",0.00100867749216214,0.0488,8,16
"DPM",0.00100867749216214,0.0034,8,16
"ORBIT_P",0.00100867749216214,0.0484,8,16
"Fisher",0.000275832833616045,0.049,9,16
"Brown",0.000275832833616045,0.0477,9,16
"Stouffer",0.000275832833616045,0.0482,9,16
"DPM",0.000275832833616045,0.0015,9,16
"ORBIT_P",0.000275832833616045,0.0486,9,16
"Fisher",0.00107426301304173,0.0497,10,16
"Brown",0.00107426301304173,0.0487,10,16
"Stouffer",0.00107426301304173,0.0474,10,16
"DPM",0.00107426301304173,0.0012,10,16
"ORBIT_P",0.00107426301304173,0.0481,10,16
"Fisher",0.00164402340636469,0.0507,11,16
"Brown",0.00164402340636469,0.0497,11,16
"Stouffer",0.00164402340636469,0.05,11,16
