"method","K","signal_prop","rho_est","power","fdp","rep"
"ORBIT_P",18,0.05,-0.000908330590296946,0.989473684210526,0.0505050505050505,1
"DPM",19,0.05,NA,0.945263157894737,0,1
"ORBIT_P",19,0.05,-0.000463299668744886,0.985263157894737,0.0583501006036217,1
"DPM",20,0.05,NA,0.966315789473684,0,1
"ORBIT_P",20,0.05,-0.00037385880711727,0.99578947368421,0.0521042084168337,1
"DPM",2,0.1,NA,0.751572327044025,0.0310810810810811,1
"ORBIT_P",2,0.1,0.000959735275971404,0.79769392033543,0.0439698492462312,1
"DPM",3,0.1,NA,0.839622641509434,0.0171779141104294,1
"ORBIT_P",3,0.1,-0.00230933252309702,0.890985324947589,0.0460157126823793,1
"DPM",4,0.1,NA,0.868972746331237,0.0083732057416268,1
"ORBIT_P",4,0.1,-0.000413897605865508,0.915094339622642,0.0448577680525164,1
"DPM",5,0.1,NA,0.89517819706499,0.00928074245939675,1
"ORBIT_P",5,0.1,-2.52067007321066e-05,0.939203354297694,0.0406852248394004,1
"DPM",6,0.1,NA,0.910901467505241,0.005720823798627,1
"ORBIT_P",6,0.1,0.00108633880688159,0.951781970649895,0.0432033719704953,1
"DPM",7,0.1,NA,0.923480083857442,0.00339366515837104,1
"ORBIT_P",7,0.1,-0.000935349611069027,0.963312368972746,0.0427083333333333,1
"DPM",8,0.1,NA,0.927672955974843,0.00225479143179256,1
"ORBIT_P",8,0.1,-0.000579384355879358,0.970649895178197,0.045360824742268,1
"DPM",9,0.1,NA,0.943396226415094,0.00221729490022173,1
"ORBIT_P",9,0.1,-0.00251499570824524,0.981132075471698,0.0478128179043744,1
"DPM",10,0.1,NA,0.944444444444444,0,1
"ORBIT_P",10,0.1,-0.00332865208662748,0.976939203354298,0.0509164969450102,1
"DPM",11,0.1,NA,0.938155136268344,0,1
"ORBIT_P",11,0.1,-0.00257849964315621,0.982180293501048,0.0535353535353535,1
"DPM",12,0.1,NA,0.955974842767296,0,1
"ORBIT_P",12,0.1,-0.00273712776061544,0.983228511530398,0.0486815415821501,1
"DPM",13,0.1,NA,0.964360587002096,0,1
"ORBIT_P",13,0.1,-0.00202316806539307,0.989517819706499,0.0550550550550551,1
"DPM",14,0.1,NA,0.967505241090147,0,1
"ORBIT_P",14,0.1,-0.00166283326539725,0.986373165618449,0.0466058763931104,1
"DPM",15,0.1,NA,0.944444444444444,0,1
"ORBIT_P",15,0.1,-0.00140424021745852,0.980083857442348,0.0449438202247191,1
"DPM",16,0.1,NA,0.961215932914046,0,1
"ORBIT_P",16,0.1,-0.00174216301250407,0.984276729559748,0.0388945752302968,1
"DPM",17,0.1,NA,0.961215932914046,0,1
"ORBIT_P",17,0.1,-0.00148047413469572,0.988469601677149,0.0426395939086294,1
"DPM",18,0.1,NA,0.957023060796646,0,1
"ORBIT_P",18,0.1,-0.00111884192449665,0.986373165618449,0.0407747196738022,1
"DPM",19,0.1,NA,0.960167714884696,0,1
"ORBIT_P",19,0.1,-0.000975963150116462,0.991614255765199,0.0521042084168337,1
"DPM",20,0.1,NA,0.951781970649895,0,1
